Image Path,Filename,Ground_Truth_Category,Notes,Updated_CLIP_Category,Updated_CLIP_Confidence,Updated_CLIP_Description,Classification_Correct,Timestamp
static\VEH-F531_Advanced_Driver_Attention_Management\image61.png,image61.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.711)",CORRECT,2026-02-13 15:11:33
static\VEH-F531_Advanced_Driver_Attention_Management\image60.png,image60.png,,,TELLTALE ICONS & INDICATORS,Medium,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.536)",CORRECT,2026-02-13 15:11:33
static\VEH-F804_High_Voltage_Battery\image183.png,image183.png,HMI DISPLAY LAYOUTS,,TELLTALE ICONS & INDICATORS,Medium,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.546)",WRONG,2026-02-13 15:11:34
static\VEH-F813_HVB_Recharge_Management\image191.png,image191.png,TELLTALES ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,Low,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.400)",CORRECT,2026-02-13 15:11:35
static\VEH-F145_Brake_fluid_level_low_indication\image98.png,image98.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.973)",CORRECT,2026-02-13 15:11:36
SRS FPI Export\SRS_Instrument Cluster\VEH-F140_Unfastened_Seat_Belts_Signalling\image39.png,image39.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.791)",CORRECT,2026-02-13 15:11:37
SRS FPI Export\SRS_Instrument Cluster\VEH-F165_Manettino\image208.png,image208.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.847)",CORRECT,2026-02-13 15:11:38
static\VEH-F023_Total_Odometer\image8.png,image8.png,,,CONFIGURATION TABLES,Medium,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.451),CORRECT,2026-02-13 15:11:39
Pre-FineTuneLearning Model\SRS FPI export\SRS_Connectivity\PHN-10_Decline_Call\image4.png,image4.png,MIGHT BE HMI DISPLAY LAYOUT??,,HMI DISPLAY LAYOUTS,High,CLIP classification: Complete dashboard/HMI/UI designs showing gauge clusters and display screens. Full instrument panel layouts with multiple elements. Driver information displays with integrated visual components. Screen mockups showing user interface elements (score: 0.859),CORRECT,2026-02-13 15:11:40
static\VEH-F663_Wireless_Charger_Module_(WCM)_Management\image179.png,image179.png,,,CONFIGURATION TABLES,High,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.915),CORRECT,2026-02-13 15:11:40
Pre-FineTuneLearning Model\SRS FPI export\SRS_Diagnostics\Video_Output#2_($5039)\image70.png,image70.png,COLOR & GRADIENTS,,TELLTALE ICONS & INDICATORS,Medium,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.507)",WRONG,2026-02-13 15:11:41
Pre-FineTuneLearning Model\SRS FPI export\SRS_Diagnostics\Max_Switch-On_Volume ($0527)\image229.png,image229.png,CONFIG TABLE,,TABLE + TELLTALES,Medium,CLIP classification: Hybrid diagrams combining structured tables with embedded visual indicators. Tables containing telltale symbols and icons. Structured data with integrated warning lights or status indicators. Reference tables with visual elements. (score: 0.608),WRONG,2026-02-13 15:11:42
static\VEH-F165_Manettino\image198.png,image198.png,TABLE + TELLTALES,,TABLE + TELLTALES,High,CLIP classification: Hybrid diagrams combining structured tables with embedded visual indicators. Tables containing telltale symbols and icons. Structured data with integrated warning lights or status indicators. Reference tables with visual elements. (score: 0.746),CORRECT,2026-02-13 15:11:43
static\VEH-F200_Gear_and_Status_Indication_by_AutomaticRobotized_Gearbox\image48.png,image48.png,MIGHT BE HMI DISPLAY LAYOUT??,,HMI DISPLAY LAYOUTS,Medium,CLIP classification: Complete dashboard/HMI/UI designs showing gauge clusters and display screens. Full instrument panel layouts with multiple elements. Driver information displays with integrated visual components. Screen mockups showing user interface elements (score: 0.681),CORRECT,2026-02-13 15:11:44
static\VEH-F139_AIR_BAG_Warning_Lamp_Management\image30.png,image30.png,,,TELLTALE ICONS & INDICATORS,Medium,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.443)",CORRECT,2026-02-13 15:11:45
static\VEH-F533_Lane_Keeping_Warning\image133.png,image133.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.871)",CORRECT,2026-02-13 15:11:46
SRS FPI Export\SRS_Instrument Cluster\VEH-F027_Position_Lights_DRL_and_Parking_Lights_Management\image10.png,image10.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.987)",CORRECT,2026-02-13 15:11:47
SRS FPI Export\SRS_Instrument Cluster\VEH-F051_Turn_Indicators_and_Hazard_Lights\image16.png,image16.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.858)",CORRECT,2026-02-13 15:11:48
static\VEH-F663_Wireless_Charger_Module_(WCM)_Management\image180.png,image180.png,,,CONFIGURATION TABLES,High,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.911),CORRECT,2026-02-13 15:11:49
Pre-FineTuneLearning Model\SRS FPI export\SRS_Diagnostics\Battery_voltage_ ($1004)\image195.png,image195.png,,,CONFIGURATION TABLES,Medium,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.653),CORRECT,2026-02-13 15:11:50
static\VEH-F200_Gear_and_Status_Indication_by_AutomaticRobotized_Gearbox\image52.png,image52.png,,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.953)",CORRECT,2026-02-13 15:11:52
Pre-FineTuneLearning Model\SRS FPI export\SRS_HMI Software\ADAS_Preset_-_ALL_OFF\image55.png,image55.png,HMI DISPLAY LAYOUTS??,,TELLTALE ICONS & INDICATORS,Medium,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.626)",WRONG,2026-02-13 15:11:53
Pre-FineTuneLearning Model\SRS FPI export\SRS_System Architecture\F244_R5_NOS_ETHERNET_PI_6\image22.png,image22.png,SAU CONFIGURATION TABLES?,,CONFIGURATION TABLES,Medium,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.627),CORRECT,2026-02-13 15:11:54
Pre-FineTuneLearning Model\SRS FPI export\SRS_Audio\FAD-0__Audio_Source_Definition_&_Channel Allocation_Audio_Streams\image114.png,image114.png,CONFIGURATION TABLES,,TIMING DIAGRAMS,Low,CLIP classification: Signal sequence charts showing waveforms over time. Communication protocol timing with signal transitions. Time-based signal representations with multiple channels. Temporal diagrams showing signal relationships and synchronization. (score: 0.245),WRONG,2026-02-13 15:11:55
